season,item_id,datetime,platform,cloud_cover_pct,aoi_coverage_ratio,mgrs_tile,utm_zone,latitude_band,grid_square
autumn,S2A_32UPU_20210903_2_L2A,2021-09-03T10:27:28.066000Z,sentinel-2a,0.29616,1.0000000000000044,,32,U,PU
autumn,S2A_32UPU_20210903_1_L2A,2021-09-03T10:27:28.066000Z,sentinel-2a,0.29616,1.0000000000000044,,32,U,PU
autumn,S2A_32UPU_20210903_0_L2A,2021-09-03T10:27:28.066000Z,sentinel-2a,0.330497,1.0000000000000044,,32,U,PU
autumn,S2B_32UPU_20210908_1_L2A,2021-09-08T10:27:23.531000Z,sentinel-2b,3.470238,1.0000000000000044,,32,U,PU
autumn,S2B_32UPU_20210918_0_L2A,2021-09-18T10:27:23.588000Z,sentinel-2b,3.755494,1.0000000000000044,,32,U,PU
autumn,S2A_32UPU_20210923_0_L2A,2021-09-23T10:27:30.320000Z,sentinel-2a,4.312678,1.0000000000000044,,32,U,PU
autumn,S2B_32UPU_20210918_1_L2A,2021-09-18T10:27:23.588000Z,sentinel-2b,5.315368,1.0000000000000044,,32,U,PU
autumn,S2A_32UPU_20210923_1_L2A,2021-09-23T10:27:30.321000Z,sentinel-2a,6.057454,1.0000000000000044,,32,U,PU
autumn,S2B_32UPU_20210908_0_L2A,2021-09-08T10:27:23.530000Z,sentinel-2b,6.103875,1.0000000000000044,,32,U,PU
autumn,S2A_32UPU_20210913_0_L2A,2021-09-13T10:27:28.087000Z,sentinel-2a,18.103696,1.0000000000000044,,32,U,PU
autumn,S2B_32UPU_20210925_0_L2A,2021-09-25T10:17:28.415000Z,sentinel-2b,0.230983,0.936118582426051,,32,U,PU
autumn,S2B_32UPU_20210905_0_L2A,2021-09-05T10:17:26.557000Z,sentinel-2b,0.689798,0.9250247224278,,32,U,PU
autumn,S2A_32UPU_20211010_1_L2A,2021-10-10T10:17:31.116000Z,sentinel-2a,0.363017,0.9234768103821589,,32,U,PU
autumn,S2A_32UPU_20211010_2_L2A,2021-10-10T10:17:31.114000Z,sentinel-2a,0.035656,0.9212660395251315,,32,U,PU
autumn,S2B_32UPU_20210925_2_L2A,2021-09-25T10:17:28.415000Z,sentinel-2b,0.002809,0.9128825954722245,,32,U,PU
autumn,S2B_32UPU_20210925_1_L2A,2021-09-25T10:17:28.415000Z,sentinel-2b,0.002809,0.9128825954722101,,32,U,PU
autumn,S2A_32UPU_20210910_0_L2A,2021-09-10T10:17:30.320000Z,sentinel-2a,0.510652,0.9047042905361316,,32,U,PU
autumn,S2B_32UPU_20210905_1_L2A,2021-09-05T10:17:26.557000Z,sentinel-2b,0.856341,0.9017700072219468,,32,U,PU
autumn,S2A_32UPU_20210910_1_L2A,2021-09-10T10:17:30.320000Z,sentinel-2a,0.431836,0.8979181615729206,,32,U,PU
spring,S2B_32UPU_20210302_1_L2A,2021-03-02T10:27:26.069000Z,sentinel-2b,3.341009,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210531_0_L2A,2021-05-31T10:27:27.915000Z,sentinel-2b,3.742858,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210531_1_L2A,2021-05-31T10:27:27.915000Z,sentinel-2b,4.687579,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210302_0_L2A,2021-03-02T10:27:26.069000Z,sentinel-2b,5.130239,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210401_0_L2A,2021-04-01T10:27:25.288000Z,sentinel-2b,19.496829,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210428_0_L2A,2021-04-28T10:17:25.506000Z,sentinel-2b,8.252922,0.9412722064598167,,32,U,PU
spring,S2A_32UPU_20210324_0_L2A,2021-03-24T10:17:28.558000Z,sentinel-2a,0.464207,0.9405379619512875,,32,U,PU
spring,S2B_32UPU_20210329_0_L2A,2021-03-29T10:17:28.638000Z,sentinel-2b,10.382213,0.9402313673997279,,32,U,PU
spring,S2A_32UPU_20210324_1_L2A,2021-03-24T10:17:28.558000Z,sentinel-2a,0.00191,0.9340883750122277,,32,U,PU
spring,S2B_32UPU_20210428_1_L2A,2021-04-28T10:17:25.506000Z,sentinel-2b,12.080569,0.9179654484259844,,32,U,PU
spring,S2B_32UPU_20210428_2_L2A,2021-04-28T10:17:25.506000Z,sentinel-2b,12.085399,0.9167747874519028,,32,U,PU
spring,S2B_32UPU_20210329_1_L2A,2021-03-29T10:17:28.640000Z,sentinel-2b,15.37665,0.9167747874519028,,32,U,PU
spring,S2A_32UPU_20210423_0_L2A,2021-04-23T10:17:26.060000Z,sentinel-2a,0.468504,0.893053070708331,,32,U,PU
spring,S2A_32UPU_20210423_2_L2A,2021-04-23T10:17:26.060000Z,sentinel-2a,0.024686,0.8853266374446829,,32,U,PU
spring,S2A_32UPU_20210423_1_L2A,2021-04-23T10:17:26.061000Z,sentinel-2a,0.022772,0.885326637444674,,32,U,PU
