season,item_id,datetime,platform,cloud_cover_pct,aoi_coverage_ratio,mgrs_tile,utm_zone,latitude_band,grid_square
autumn,S2A_32UPU_20210903_2_L2A,2021-09-03T10:27:28.066000Z,sentinel-2a,0.29616,1.0000000000000044,,32,U,PU
autumn,S2A_32UPU_20210903_1_L2A,2021-09-03T10:27:28.066000Z,sentinel-2a,0.29616,1.0000000000000044,,32,U,PU
autumn,S2A_32UPU_20210903_0_L2A,2021-09-03T10:27:28.066000Z,sentinel-2a,0.330497,1.0000000000000044,,32,U,PU
autumn,S2B_32UPU_20210908_1_L2A,2021-09-08T10:27:23.531000Z,sentinel-2b,3.470238,1.0000000000000044,,32,U,PU
autumn,S2B_32UPU_20210918_0_L2A,2021-09-18T10:27:23.588000Z,sentinel-2b,3.755494,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210302_1_L2A,2021-03-02T10:27:26.069000Z,sentinel-2b,3.341009,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210531_0_L2A,2021-05-31T10:27:27.915000Z,sentinel-2b,3.742858,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210531_1_L2A,2021-05-31T10:27:27.915000Z,sentinel-2b,4.687579,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210302_0_L2A,2021-03-02T10:27:26.069000Z,sentinel-2b,5.130239,1.0000000000000044,,32,U,PU
spring,S2B_32UPU_20210401_0_L2A,2021-04-01T10:27:25.288000Z,sentinel-2b,19.496829,1.0000000000000044,,32,U,PU
summer,S2A_32UPU_20210814_1_L2A,2021-08-14T10:27:29.646000Z,sentinel-2a,0.063988,1.0000000000000044,,32,U,PU
summer,S2A_32UPU_20210814_0_L2A,2021-08-14T10:27:29.646000Z,sentinel-2a,0.250388,1.0000000000000044,,32,U,PU
summer,S2B_32UPU_20210617_0_L2A,2021-06-17T10:17:31.041000Z,sentinel-2b,0.354513,0.9543181018919384,,32,U,PU
summer,S2B_32UPU_20210730_1_L2A,2021-07-30T10:27:28.855000Z,sentinel-2b,3.342199,1.0000000000000044,,32,U,PU
summer,S2B_32UPU_20210730_0_L2A,2021-07-30T10:27:28.854000Z,sentinel-2b,3.381949,1.0000000000000044,,32,U,PU
