feature,valid_pixels,min,p02,p25,median,p75,p98,max
spring_blue,1467614,0.009999999776482582,0.017799999564886093,0.03200000151991844,0.04899999871850014,0.07039999961853027,0.1624000072479248,0.9007999897003174
spring_green,1467614,0.009999999776482582,0.024900000542402267,0.04919999837875366,0.06889999657869339,0.09080000221729279,0.18320000171661377,1.0343999862670898
spring_red,1467614,0.0017000000225380063,0.017000000923871994,0.04439999908208847,0.07020000368356705,0.10279999673366547,0.2046000063419342,1.0944000482559204
spring_nir,1467614,0.002899999963119626,0.08070000261068344,0.15479999780654907,0.19189999997615814,0.24979999661445618,0.4106999933719635,1.1464999914169312
spring_swir16,1467614,0.006800000090152025,0.07100000232458115,0.16349999606609344,0.20020000636577606,0.23260000348091125,0.31520000100135803,1.2481000423431396
spring_swir22,1467614,0.004600000102072954,0.03440000116825104,0.10779999941587448,0.15060000121593475,0.18529999256134033,0.2759000062942505,1.4924999475479126
spring_ndvi,1467614,-0.7340425848960876,0.03889121159911156,0.2767808437347412,0.48632389307022095,0.6420776098966599,0.8282138705253601,0.9054252505302429
spring_ndbi,1467614,-0.7323358654975891,-0.4046075356006622,-0.12159280478954315,0.0005403415416367352,0.09386958740651608,0.3098330122232437,0.7878475189208984
spring_ndwi,1467614,-0.8470149040222168,-0.7536466562747955,-0.6076377779245377,-0.5010526776313782,-0.3428410068154335,-0.057496265918016445,0.912129819393158
summer_blue,1467614,0.0015999999595806003,0.01940000057220459,0.027400000020861626,0.0421999990940094,0.066600002348423,0.16940000653266907,1.8279999494552612
summer_green,1467614,0.01360000018030405,0.028149999678134918,0.04349999874830246,0.06800000369548798,0.0892999991774559,0.1940000057220459,1.6792000532150269
summer_red,1467614,0.008100000210106373,0.01640000008046627,0.025599999353289604,0.051750000566244125,0.09719999879598618,0.21140000224113464,1.5543999671936035
summer_nir,1467614,0.008100000210106373,0.10249999910593033,0.21449999511241913,0.27880001068115234,0.34610000252723694,0.47760000824928284,1.5846999883651733
summer_swir16,1467614,0.007300000172108412,0.06989999860525131,0.1525000035762787,0.19189999997615814,0.22220000624656677,0.31690001487731934,1.1563000679016113
summer_swir22,1467614,0.00419999985024333,0.029750000685453415,0.06870000064373016,0.11879999935626984,0.16210000216960907,0.2621999979019165,1.3985999822616577
summer_ndvi,1467614,-0.5024154186248779,0.029113514348864555,0.3865780532360077,0.6933100819587708,0.84368896484375,0.899830162525177,0.9336513876914978
summer_ndbi,1467614,-0.7668976783752441,-0.5013926291465759,-0.35369181632995605,-0.2106635570526123,-0.03626520559191704,0.22451720297336575,0.6221824288368225
summer_ndwi,1467614,-0.9109295010566711,-0.8233736681938172,-0.7439180612564087,-0.6364403367042542,-0.43593282997608185,-0.04315622240304948,0.7772972583770752
autumn_blue,1467614,9.999999747378752e-05,0.011599999852478504,0.01889999955892563,0.03180000185966492,0.060499999672174454,0.1565999984741211,1.7608000040054321
autumn_green,1467614,9.999999747378752e-05,0.02070000022649765,0.035599999129772186,0.05959999933838844,0.08420000225305557,0.1809999942779541,1.6727999448776245
autumn_red,1467614,9.999999747378752e-05,0.011699999682605267,0.021199999377131462,0.04259999841451645,0.08829999715089798,0.2003999948501587,1.6136000156402588
autumn_nir,1467614,0.0031999999191612005,0.07900000363588333,0.19099999964237213,0.24699999392032623,0.31949999928474426,0.4946370041370387,1.5615999698638916
autumn_swir16,1467614,0.00570000009611249,0.05559999868273735,0.133200004696846,0.17270000278949738,0.2094999998807907,0.32679998874664307,1.5144999027252197
autumn_swir22,1467614,0.0034000000450760126,0.023399999365210533,0.06109999865293503,0.10750000178813934,0.15410000085830688,0.25769999623298645,1.5075500011444092
autumn_ndvi,1467614,-0.7293497920036316,0.029881137274205685,0.34452371299266815,0.7247729897499084,0.8618451952934265,0.9115333843231201,0.9993404746055603
autumn_ndbi,1467614,-0.7975830435752869,-0.5340389132499694,-0.37170594930648804,-0.2186582088470459,-0.0031629030127078295,0.24865462064743038,0.9348139762878418
autumn_ndwi,1467614,-0.9997276067733765,-0.836416597366333,-0.7659033536911011,-0.6563003063201904,-0.3963848203420639,-0.04295120358467107,0.8483412265777588
