feature,importance_mean,importance_sd
autumn_swir16,0.15140547924184616,0.003958944679102756
summer_swir22,0.1154022572981532,0.003131010082514336
spring_swir16,0.10045187894219973,0.005839667547819803
spring_nir,0.08368251176600161,0.0018931214983920954
spring_swir22,0.04963870240700326,0.0036446298997675403
autumn_nir,0.045261796621316,0.003023068864164844
summer_nir,0.03282911449853807,0.0024081258003777633
summer_swir16,0.032595041772552014,0.001248899596534861
autumn_swir22,0.024101255349098218,0.0020233746178272183
autumn_green,0.016550719208787833,0.0020724438984451796
spring_green,0.01640466642962195,0.001518855450602843
spring_red,0.011605658618116844,0.0015251724898647941
summer_red,0.008858232759062635,0.0023547290770542825
summer_green,0.008522036599791494,0.002301495045277655
autumn_blue,0.008465168740392003,0.0033308309495501576
summer_blue,0.006480708755124387,0.001705836302765397
spring_blue,0.004463532102330525,0.0011201410220638937
autumn_red,0.0037458020818617486,0.0012035676001160372
