feature,importance_mean,importance_sd
autumn_ndwi,0.04576284888045632,0.0014916523199596007
spring_ndwi,0.029698710820295005,0.0022997691864243943
spring_swir16,0.01688022917199432,0.0015164884776355722
autumn_swir16,0.008652415909006561,0.001000510980866391
summer_swir22,0.007974312897968527,0.0016347348198382787
autumn_swir22,0.006941630727823789,0.001142456208897619
summer_swir16,0.006729090492410284,0.0009505662137994001
summer_nir,0.005757409530390278,0.0006758986755354274
spring_ndvi,0.0047811424951451405,0.0014205120136252043
spring_nir,0.004594157804943965,0.0017440251086294082
autumn_ndvi,0.004022931657161144,0.0010058836096807661
spring_swir22,0.0037948722875831065,0.001480196424589878
autumn_nir,0.003015277967761687,0.0009720582496449505
spring_ndbi,0.0024960305193665543,0.0006816338085209177
spring_blue,0.0024618573997582604,0.0008503632672681187
summer_ndwi,0.0022503124572187615,0.0015689779047062082
summer_ndvi,0.002166748730588419,0.001930855082818924
autumn_red,0.0018011421567359243,0.00043715851093580944
summer_ndbi,0.0015786594713330215,0.0007049703227502234
autumn_ndbi,0.0013410168873855487,0.0008310935855434631
summer_blue,0.0007288645646981173,0.0005541890512846692
spring_green,0.0006542119461454332,0.000532619540699527
autumn_blue,0.0005860411449130521,0.0005050674584498522
summer_red,0.00014100225945667955,0.0011423287187933868
spring_red,-0.0006491270352668276,0.0007388202021517153
summer_green,-0.0008650967926816744,0.0006767630418240281
autumn_green,-0.0015270085502426811,0.0013687724061894997
