class_code,class_name,row,col,x,y,block_id,random_split
10,Tree cover,1719,1328,644045.0,5351805.0,B08_06,train
10,Tree cover,2035,1072,641485.0,5348645.0,B10_05,test
10,Tree cover,1681,1266,643425.0,5352185.0,B08_06,test
10,Tree cover,1355,710,637865.0,5355445.0,B06_03,test
10,Tree cover,811,978,640545.0,5360885.0,B04_04,test
10,Tree cover,1935,1209,642855.0,5349645.0,B09_06,test
10,Tree cover,1352,694,637705.0,5355475.0,B06_03,train
10,Tree cover,1437,194,632705.0,5354625.0,B07_00,train
10,Tree cover,83,907,639835.0,5368165.0,B00_04,train
10,Tree cover,1365,330,634065.0,5355345.0,B06_01,test
10,Tree cover,1532,262,633385.0,5353675.0,B07_01,test
10,Tree cover,946,636,637125.0,5359535.0,B04_03,train
10,Tree cover,1607,618,636945.0,5352925.0,B08_03,train
10,Tree cover,1250,1049,641255.0,5356495.0,B06_05,test
10,Tree cover,1983,1073,641495.0,5349165.0,B09_05,train
10,Tree cover,1474,269,633455.0,5354255.0,B07_01,train
10,Tree cover,1579,291,633675.0,5353205.0,B07_01,test
10,Tree cover,1426,625,637015.0,5354735.0,B07_03,train
10,Tree cover,1096,1011,640875.0,5358035.0,B05_05,train
10,Tree cover,1746,114,631905.0,5351535.0,B08_00,train
10,Tree cover,1437,1160,642365.0,5354625.0,B07_05,train
10,Tree cover,1711,70,631465.0,5351885.0,B08_00,test
10,Tree cover,1629,995,640715.0,5352705.0,B08_04,train
10,Tree cover,2012,1052,641285.0,5348875.0,B10_05,train
10,Tree cover,1897,1139,642155.0,5350025.0,B09_05,train
10,Tree cover,2053,1109,641855.0,5348465.0,B10_05,train
10,Tree cover,1360,405,634815.0,5355395.0,B06_02,train
10,Tree cover,117,926,640025.0,5367825.0,B00_04,test
10,Tree cover,1968,1070,641465.0,5349315.0,B09_05,test
10,Tree cover,1288,712,637885.0,5356115.0,B06_03,train
10,Tree cover,1731,1295,643715.0,5351685.0,B08_06,train
10,Tree cover,1409,427,635035.0,5354905.0,B07_02,train
10,Tree cover,1700,234,633105.0,5351995.0,B08_01,train
10,Tree cover,1784,533,636095.0,5351155.0,B08_02,train
10,Tree cover,1995,1082,641585.0,5349045.0,B09_05,test
10,Tree cover,1466,210,632865.0,5354335.0,B07_01,train
10,Tree cover,1678,1186,642625.0,5352215.0,B08_05,test
10,Tree cover,1888,1069,641455.0,5350115.0,B09_05,train
10,Tree cover,1429,1210,642865.0,5354705.0,B07_06,test
10,Tree cover,1756,1175,642515.0,5351435.0,B08_05,train
10,Tree cover,1584,700,637765.0,5353155.0,B07_03,test
10,Tree cover,1811,198,632745.0,5350885.0,B09_00,train
10,Tree cover,583,895,639715.0,5363165.0,B02_04,train
10,Tree cover,1219,1235,643115.0,5356805.0,B06_06,train
10,Tree cover,1795,182,632585.0,5351045.0,B08_00,train
10,Tree cover,1704,123,631995.0,5351955.0,B08_00,train
10,Tree cover,1777,1307,643835.0,5351225.0,B08_06,test
10,Tree cover,1460,344,634205.0,5354395.0,B07_01,train
10,Tree cover,829,1163,642395.0,5360705.0,B04_05,train
10,Tree cover,994,906,639825.0,5359055.0,B04_04,train
10,Tree cover,1318,344,634205.0,5355815.0,B06_01,train
10,Tree cover,1952,1109,641855.0,5349475.0,B09_05,train
10,Tree cover,1356,1016,640925.0,5355435.0,B06_05,train
10,Tree cover,1447,253,633295.0,5354525.0,B07_01,test
10,Tree cover,1364,429,635055.0,5355355.0,B06_02,test
10,Tree cover,1848,1332,644085.0,5350515.0,B09_06,test
10,Tree cover,2057,1269,643455.0,5348425.0,B10_06,train
10,Tree cover,1363,465,635415.0,5355365.0,B06_02,train
10,Tree cover,1787,247,633235.0,5351125.0,B08_01,train
10,Tree cover,1804,543,636195.0,5350955.0,B09_02,train
10,Tree cover,1664,1103,641795.0,5352355.0,B08_05,test
10,Tree cover,1880,1074,641505.0,5350195.0,B09_05,train
10,Tree cover,1395,329,634055.0,5355045.0,B06_01,train
10,Tree cover,765,942,640185.0,5361345.0,B03_04,train
10,Tree cover,1314,1277,643535.0,5355855.0,B06_06,test
10,Tree cover,1828,1317,643935.0,5350715.0,B09_06,train
10,Tree cover,1038,755,638315.0,5358615.0,B05_03,test
10,Tree cover,1565,240,633165.0,5353345.0,B07_01,train
10,Tree cover,1531,1157,642335.0,5353685.0,B07_05,train
10,Tree cover,1885,1094,641705.0,5350145.0,B09_05,train
10,Tree cover,1449,364,634405.0,5354505.0,B07_01,train
10,Tree cover,923,881,639575.0,5359765.0,B04_04,train
10,Tree cover,1021,693,637695.0,5358785.0,B05_03,train
10,Tree cover,1454,342,634185.0,5354455.0,B07_01,train
10,Tree cover,1801,250,633265.0,5350985.0,B09_01,test
10,Tree cover,1344,437,635135.0,5355555.0,B06_02,train
10,Tree cover,2013,1129,642055.0,5348865.0,B10_05,train
10,Tree cover,1337,1179,642555.0,5355625.0,B06_05,test
10,Tree cover,1141,738,638145.0,5357585.0,B05_03,train
10,Tree cover,1199,932,640085.0,5357005.0,B05_04,train
10,Tree cover,1997,1233,643095.0,5349025.0,B09_06,train
10,Tree cover,1611,192,632685.0,5352885.0,B08_00,train
10,Tree cover,826,1032,641085.0,5360735.0,B04_05,train
10,Tree cover,1517,323,633995.0,5353825.0,B07_01,train
