validation,model,feature_set,fold,class_code,class_name,precision,recall,f1,support
random_5fold,Random Forest,bands_only,1,10,Tree cover,0.8591549295774648,0.8133333333333334,0.8356164383561644,1200
random_5fold,Random Forest,bands_only,1,30,Grassland,0.8123476848090982,0.8333333333333334,0.8227067050596463,1200
random_5fold,Random Forest,bands_only,1,40,Cropland,0.9250645994832042,0.895,0.9097839898348158,1200
random_5fold,Random Forest,bands_only,1,50,Built-up,0.8713725490196078,0.9258333333333333,0.8977777777777778,1200
random_5fold,Random Forest,bands_only,1,80,Permanent water,0.9799498746867168,0.9775,0.9787234042553191,1200
random_5fold,Random Forest,bands_only,2,10,Tree cover,0.8727114210985178,0.8341666666666666,0.8530038346825735,1200
random_5fold,Random Forest,bands_only,2,30,Grassland,0.8132231404958677,0.82,0.816597510373444,1200
random_5fold,Random Forest,bands_only,2,40,Cropland,0.9265975820379966,0.8941666666666667,0.9100932994062765,1200
random_5fold,Random Forest,bands_only,2,50,Built-up,0.8566978193146417,0.9166666666666666,0.8856682769726248,1200
random_5fold,Random Forest,bands_only,2,80,Permanent water,0.9758534554537885,0.9766666666666667,0.9762598917117867,1200
random_5fold,Random Forest,bands_only,3,10,Tree cover,0.8624472573839662,0.8516666666666667,0.8570230607966457,1200
random_5fold,Random Forest,bands_only,3,30,Grassland,0.810359231411863,0.8083333333333333,0.8093450146015854,1200
random_5fold,Random Forest,bands_only,3,40,Cropland,0.9163071613459879,0.885,0.9003815175922001,1200
random_5fold,Random Forest,bands_only,3,50,Built-up,0.8717545239968528,0.9233333333333333,0.8968029138000809,1200
random_5fold,Random Forest,bands_only,3,80,Permanent water,0.984006734006734,0.9741666666666666,0.9790619765494137,1200
random_5fold,Random Forest,bands_only,4,10,Tree cover,0.8756613756613757,0.8275,0.8508997429305912,1200
random_5fold,Random Forest,bands_only,4,30,Grassland,0.8224755700325733,0.8416666666666667,0.8319604612850082,1200
random_5fold,Random Forest,bands_only,4,40,Cropland,0.9288774635818338,0.9033333333333333,0.9159273341782848,1200
random_5fold,Random Forest,bands_only,4,50,Built-up,0.863672182821119,0.9133333333333333,0.8878088294856217,1200
random_5fold,Random Forest,bands_only,4,80,Permanent water,0.9767054908485857,0.9783333333333334,0.97751873438801,1200
random_5fold,Random Forest,bands_only,5,10,Tree cover,0.8737113402061856,0.8475,0.8604060913705583,1200
random_5fold,Random Forest,bands_only,5,30,Grassland,0.8166666666666667,0.8166666666666667,0.8166666666666667,1200
random_5fold,Random Forest,bands_only,5,40,Cropland,0.9190353143841516,0.8891666666666667,0.9038542990258365,1200
random_5fold,Random Forest,bands_only,5,50,Built-up,0.8730407523510971,0.9283333333333333,0.8998384491114702,1200
random_5fold,Random Forest,bands_only,5,80,Permanent water,0.9783152627189324,0.9775,0.9779074614422676,1200
random_5fold,HistGradientBoosting,bands_only,1,10,Tree cover,0.8584070796460177,0.8083333333333333,0.8326180257510729,1200
random_5fold,HistGradientBoosting,bands_only,1,30,Grassland,0.8042071197411004,0.8283333333333334,0.8160919540229885,1200
random_5fold,HistGradientBoosting,bands_only,1,40,Cropland,0.916595744680851,0.8975,0.9069473684210526,1200
random_5fold,HistGradientBoosting,bands_only,1,50,Built-up,0.8653998416468726,0.9108333333333334,0.8875355257815672,1200
random_5fold,HistGradientBoosting,bands_only,1,80,Permanent water,0.9765886287625418,0.9733333333333334,0.9749582637729549,1200
random_5fold,HistGradientBoosting,bands_only,2,10,Tree cover,0.8668407310704961,0.83,0.8480204342273308,1200
random_5fold,HistGradientBoosting,bands_only,2,30,Grassland,0.8211314475873545,0.8225,0.8218151540383014,1200
random_5fold,HistGradientBoosting,bands_only,2,40,Cropland,0.9275237273511648,0.8958333333333334,0.9114031369224248,1200
random_5fold,HistGradientBoosting,bands_only,2,50,Built-up,0.8559256390395042,0.9208333333333333,0.8871938980329185,1200
random_5fold,HistGradientBoosting,bands_only,2,80,Permanent water,0.9741451209341118,0.9733333333333334,0.9737390579408086,1200
random_5fold,HistGradientBoosting,bands_only,3,10,Tree cover,0.8637137989778535,0.845,0.8542544229149115,1200
random_5fold,HistGradientBoosting,bands_only,3,30,Grassland,0.8066612510154346,0.8275,0.8169477581242287,1200
random_5fold,HistGradientBoosting,bands_only,3,40,Cropland,0.918189730200174,0.8791666666666667,0.898254576415496,1200
random_5fold,HistGradientBoosting,bands_only,3,50,Built-up,0.8714285714285714,0.915,0.8926829268292683,1200
random_5fold,HistGradientBoosting,bands_only,3,80,Permanent water,0.984822934232715,0.9733333333333334,0.9790444258172674,1200
random_5fold,HistGradientBoosting,bands_only,4,10,Tree cover,0.8713656387665198,0.8241666666666667,0.8471092077087794,1200
random_5fold,HistGradientBoosting,bands_only,4,30,Grassland,0.8102481985588471,0.8433333333333334,0.8264597795018375,1200
random_5fold,HistGradientBoosting,bands_only,4,40,Cropland,0.9267872523686477,0.8966666666666666,0.9114781872088098,1200
random_5fold,HistGradientBoosting,bands_only,4,50,Built-up,0.871692060946271,0.9058333333333334,0.888434818144667,1200
random_5fold,HistGradientBoosting,bands_only,4,80,Permanent water,0.9751655629139073,0.9816666666666667,0.978405315614618,1200
random_5fold,HistGradientBoosting,bands_only,5,10,Tree cover,0.8628281117696867,0.8491666666666666,0.8559428811423772,1200
random_5fold,HistGradientBoosting,bands_only,5,30,Grassland,0.8181063122923588,0.8208333333333333,0.8194675540765392,1200
random_5fold,HistGradientBoosting,bands_only,5,40,Cropland,0.9255411255411256,0.8908333333333334,0.9078556263269639,1200
random_5fold,HistGradientBoosting,bands_only,5,50,Built-up,0.8842188739095955,0.9291666666666667,0.9061357171881349,1200
random_5fold,HistGradientBoosting,bands_only,5,80,Permanent water,0.9808173477898249,0.98,0.980408503543143,1200
random_5fold,Random Forest,bands_plus_indices,1,10,Tree cover,0.8557607739665787,0.8108333333333333,0.832691484809585,1200
random_5fold,Random Forest,bands_plus_indices,1,30,Grassland,0.8065040650406504,0.8266666666666667,0.8164609053497942,1200
random_5fold,Random Forest,bands_plus_indices,1,40,Cropland,0.9201716738197425,0.8933333333333333,0.906553911205074,1200
random_5fold,Random Forest,bands_plus_indices,1,50,Built-up,0.863672182821119,0.9133333333333333,0.8878088294856217,1200
random_5fold,Random Forest,bands_plus_indices,1,80,Permanent water,0.9799833194328608,0.9791666666666666,0.9795748228428511,1200
random_5fold,Random Forest,bands_plus_indices,2,10,Tree cover,0.8817863397548161,0.8391666666666666,0.8599487617421008,1200
random_5fold,Random Forest,bands_plus_indices,2,30,Grassland,0.8136288998357963,0.8258333333333333,0.8196856906534326,1200
random_5fold,Random Forest,bands_plus_indices,2,40,Cropland,0.9337401918047079,0.8925,0.9126544524925436,1200
random_5fold,Random Forest,bands_plus_indices,2,50,Built-up,0.8572536850271528,0.9208333333333333,0.887906789875452,1200
random_5fold,Random Forest,bands_plus_indices,2,80,Permanent water,0.9750830564784053,0.9783333333333334,0.9767054908485857,1200
random_5fold,Random Forest,bands_plus_indices,3,10,Tree cover,0.8639455782312925,0.8466666666666667,0.8552188552188552,1200
random_5fold,Random Forest,bands_plus_indices,3,30,Grassland,0.8033057851239669,0.81,0.8066390041493776,1200
random_5fold,Random Forest,bands_plus_indices,3,40,Cropland,0.9157986111111112,0.8791666666666667,0.8971088435374149,1200
random_5fold,Random Forest,bands_plus_indices,3,50,Built-up,0.8739164696611506,0.9241666666666667,0.8983394086674767,1200
random_5fold,Random Forest,bands_plus_indices,3,80,Permanent water,0.9823973176865046,0.9766666666666667,0.9795236105307146,1200
random_5fold,Random Forest,bands_plus_indices,4,10,Tree cover,0.8814159292035398,0.83,0.8549356223175966,1200
random_5fold,Random Forest,bands_plus_indices,4,30,Grassland,0.8167072181670721,0.8391666666666666,0.8277846280312372,1200
random_5fold,Random Forest,bands_plus_indices,4,40,Cropland,0.9352014010507881,0.89,0.9120409906063194,1200
random_5fold,Random Forest,bands_plus_indices,4,50,Built-up,0.8540372670807453,0.9166666666666666,0.8842443729903537,1200
random_5fold,Random Forest,bands_plus_indices,4,80,Permanent water,0.9751449875724938,0.9808333333333333,0.9779808890735355,1200
random_5fold,Random Forest,bands_plus_indices,5,10,Tree cover,0.8687821612349914,0.8441666666666666,0.8562975486052409,1200
random_5fold,Random Forest,bands_plus_indices,5,30,Grassland,0.8112118713932399,0.82,0.8155822627434729,1200
random_5fold,Random Forest,bands_plus_indices,5,40,Cropland,0.9254119687771032,0.8891666666666667,0.9069273268168295,1200
random_5fold,Random Forest,bands_plus_indices,5,50,Built-up,0.8713496448303079,0.92,0.8950141872719902,1200
random_5fold,Random Forest,bands_plus_indices,5,80,Permanent water,0.97751873438801,0.9783333333333334,0.9779258642232403,1200
random_5fold,HistGradientBoosting,bands_plus_indices,1,10,Tree cover,0.8630742049469965,0.8141666666666667,0.8379073756432247,1200
random_5fold,HistGradientBoosting,bands_plus_indices,1,30,Grassland,0.8111831442463533,0.8341666666666666,0.8225143796220213,1200
random_5fold,HistGradientBoosting,bands_plus_indices,1,40,Cropland,0.9213002566295979,0.8975,0.9092444069227522,1200
random_5fold,HistGradientBoosting,bands_plus_indices,1,50,Built-up,0.8686073957513769,0.92,0.8935653581545933,1200
random_5fold,HistGradientBoosting,bands_plus_indices,1,80,Permanent water,0.981574539363484,0.9766666666666667,0.9791144527986633,1200
random_5fold,HistGradientBoosting,bands_plus_indices,2,10,Tree cover,0.877177700348432,0.8391666666666666,0.8577512776831345,1200
random_5fold,HistGradientBoosting,bands_plus_indices,2,30,Grassland,0.8267782426778243,0.8233333333333334,0.8250521920668058,1200
random_5fold,HistGradientBoosting,bands_plus_indices,2,40,Cropland,0.9263067694944301,0.9008333333333334,0.9133924799324039,1200
random_5fold,HistGradientBoosting,bands_plus_indices,2,50,Built-up,0.8636009353078722,0.9233333333333333,0.8924687877567459,1200
random_5fold,HistGradientBoosting,bands_plus_indices,2,80,Permanent water,0.9726594863297432,0.9783333333333334,0.9754881595346905,1200
random_5fold,HistGradientBoosting,bands_plus_indices,3,10,Tree cover,0.8670076726342711,0.8475,0.8571428571428571,1200
random_5fold,HistGradientBoosting,bands_plus_indices,3,30,Grassland,0.8017944535073409,0.8191666666666667,0.8103874690849134,1200
random_5fold,HistGradientBoosting,bands_plus_indices,3,40,Cropland,0.9172473867595818,0.8775,0.8969335604770017,1200
random_5fold,HistGradientBoosting,bands_plus_indices,3,50,Built-up,0.8777777777777778,0.9216666666666666,0.8991869918699187,1200
random_5fold,HistGradientBoosting,bands_plus_indices,3,80,Permanent water,0.9832355406538139,0.9775,0.9803593815294609,1200
random_5fold,HistGradientBoosting,bands_plus_indices,4,10,Tree cover,0.8795718108831401,0.8216666666666667,0.8496337785437311,1200
random_5fold,HistGradientBoosting,bands_plus_indices,4,30,Grassland,0.8075079872204473,0.8425,0.8246329526916802,1200
random_5fold,HistGradientBoosting,bands_plus_indices,4,40,Cropland,0.9236706689536878,0.8975,0.9103972950126796,1200
random_5fold,HistGradientBoosting,bands_plus_indices,4,50,Built-up,0.8754019292604501,0.9075,0.8911620294599017,1200
random_5fold,HistGradientBoosting,bands_plus_indices,4,80,Permanent water,0.971240755957272,0.985,0.9780719900703351,1200
random_5fold,HistGradientBoosting,bands_plus_indices,5,10,Tree cover,0.8744625967325881,0.8475,0.860770207363521,1200
random_5fold,HistGradientBoosting,bands_plus_indices,5,30,Grassland,0.817283950617284,0.8275,0.822360248447205,1200
random_5fold,HistGradientBoosting,bands_plus_indices,5,40,Cropland,0.9324675324675324,0.8975,0.9146496815286624,1200
random_5fold,HistGradientBoosting,bands_plus_indices,5,50,Built-up,0.8790513833992095,0.9266666666666666,0.9022312373225152,1200
random_5fold,HistGradientBoosting,bands_plus_indices,5,80,Permanent water,0.9816971713810316,0.9833333333333333,0.9825145711906744,1200
spatial_5fold,Random Forest,bands_only,1,10,Tree cover,0.8858413639733136,0.8634393063583815,0.8744968898646176,1384
spatial_5fold,Random Forest,bands_only,1,30,Grassland,0.8205510052122115,0.8285714285714286,0.8245417134306023,1330
spatial_5fold,Random Forest,bands_only,1,40,Cropland,0.9044642857142857,0.8854895104895105,0.8948763250883393,1144
spatial_5fold,Random Forest,bands_only,1,50,Built-up,0.8452066842568162,0.8964552238805971,0.870076957899502,1072
spatial_5fold,Random Forest,bands_only,1,80,Permanent water,0.9812126387702819,0.965546218487395,0.9733163913595934,1190
spatial_5fold,Random Forest,bands_only,2,10,Tree cover,0.8347417840375587,0.8208679593721145,0.8277467411545624,1083
spatial_5fold,Random Forest,bands_only,2,30,Grassland,0.8175925925925925,0.806392694063927,0.8119540229885057,1095
spatial_5fold,Random Forest,bands_only,2,40,Cropland,0.9472856018882769,0.9066265060240963,0.926510196229319,1328
spatial_5fold,Random Forest,bands_only,2,50,Built-up,0.8589743589743589,0.9200323101777059,0.8884555382215289,1238
spatial_5fold,Random Forest,bands_only,2,80,Permanent water,0.968944099378882,0.9706666666666667,0.9698046181172292,1125
spatial_5fold,Random Forest,bands_only,3,10,Tree cover,0.8678571428571429,0.8223350253807107,0.8444830582102519,1182
spatial_5fold,Random Forest,bands_only,3,30,Grassland,0.7733990147783252,0.8184187662901824,0.7952722667792318,1151
spatial_5fold,Random Forest,bands_only,3,40,Cropland,0.9052924791086351,0.8326216908625107,0.8674377224199288,1171
spatial_5fold,Random Forest,bands_only,3,50,Built-up,0.8703071672354948,0.9313367421475529,0.899788285109386,1369
spatial_5fold,Random Forest,bands_only,3,80,Permanent water,0.9771959459459459,0.9714525608732157,0.9743157894736842,1191
spatial_5fold,Random Forest,bands_only,4,10,Tree cover,0.8436293436293436,0.7989031078610603,0.8206572769953052,1094
spatial_5fold,Random Forest,bands_only,4,30,Grassland,0.8029962546816479,0.8066215199398044,0.8048048048048048,1329
spatial_5fold,Random Forest,bands_only,4,40,Cropland,0.9037580201649863,0.8588850174216028,0.8807503349709692,1148
spatial_5fold,Random Forest,bands_only,4,50,Built-up,0.8260869565217391,0.9202279202279202,0.8706199460916442,1053
spatial_5fold,Random Forest,bands_only,4,80,Permanent water,0.985634477254589,0.9770569620253164,0.9813269765593962,1264
spatial_5fold,Random Forest,bands_only,5,10,Tree cover,0.8886118038237739,0.8504375497215593,0.8691056910569106,1257
spatial_5fold,Random Forest,bands_only,5,30,Grassland,0.7702464788732394,0.7990867579908676,0.7844016136261766,1095
spatial_5fold,Random Forest,bands_only,5,40,Cropland,0.9051799824407375,0.8527708850289496,0.8781942078364565,1209
spatial_5fold,Random Forest,bands_only,5,50,Built-up,0.8860569715142429,0.9321766561514195,0.9085318985395849,1268
spatial_5fold,Random Forest,bands_only,5,80,Permanent water,0.97514033680834,0.9886178861788618,0.9818328623334679,1230
spatial_5fold,HistGradientBoosting,bands_only,1,10,Tree cover,0.8760029175784099,0.8677745664739884,0.871869328493648,1384
