validation,model,feature_set,feature_count,fold,train_samples,test_samples,accuracy,macro_f1,fit_seconds
random_5fold,Random Forest,bands_only,18,1,24000,6000,0.889,0.8889216630567447,11.945021978
random_5fold,Random Forest,bands_only,18,2,24000,6000,0.8883333333333333,0.888324562629341,12.070147462999984
random_5fold,Random Forest,bands_only,18,3,24000,6000,0.8885,0.8885228966679852,11.89002860399998
random_5fold,Random Forest,bands_only,18,4,24000,6000,0.8928333333333334,0.8928230204535031,11.878434972000008
random_5fold,Random Forest,bands_only,18,5,24000,6000,0.8918333333333334,0.8917345935233598,11.819164731
random_5fold,HistGradientBoosting,bands_only,18,1,24000,6000,0.8836666666666667,0.8836302275499273,1.6552086589999817
random_5fold,HistGradientBoosting,bands_only,18,2,24000,6000,0.8885,0.8884343362323568,1.075674714999991
random_5fold,HistGradientBoosting,bands_only,18,3,24000,6000,0.888,0.8882368220202344,1.443128836999989
random_5fold,HistGradientBoosting,bands_only,18,4,24000,6000,0.8903333333333333,0.8903774616357424,1.5468796469999972
random_5fold,HistGradientBoosting,bands_only,18,5,24000,6000,0.894,0.8939620564554318,1.319616783000015
random_5fold,Random Forest,bands_plus_indices,27,1,24000,6000,0.8846666666666667,0.8846179907385853,15.980601950999983
random_5fold,Random Forest,bands_plus_indices,27,2,24000,6000,0.8913333333333333,0.8913802371224229,15.878274906000001
random_5fold,Random Forest,bands_plus_indices,27,3,24000,6000,0.8873333333333333,0.8873659444207679,15.942953738000028
random_5fold,Random Forest,bands_plus_indices,27,4,24000,6000,0.8913333333333333,0.8913973006038084,15.842122375999963
random_5fold,Random Forest,bands_plus_indices,27,5,24000,6000,0.8903333333333333,0.8903494379321547,15.981004356000028
random_5fold,HistGradientBoosting,bands_plus_indices,27,1,24000,6000,0.8885,0.888469194628251,1.781818745999999
random_5fold,HistGradientBoosting,bands_plus_indices,27,2,24000,6000,0.893,0.8928305793947562,1.3013549489999718
random_5fold,HistGradientBoosting,bands_plus_indices,27,3,24000,6000,0.8886666666666667,0.8888020520208304,1.5913995710000108
random_5fold,HistGradientBoosting,bands_plus_indices,27,4,24000,6000,0.8908333333333334,0.8907796091556655,1.478778564000038
random_5fold,HistGradientBoosting,bands_plus_indices,27,5,24000,6000,0.8965,0.8965051891705155,1.570132487999956
spatial_5fold,Random Forest,bands_only,18,1,23880,6120,0.8856209150326797,0.8874616555285308,11.699400873999991
spatial_5fold,Random Forest,bands_only,18,2,24131,5869,0.8872039529732493,0.884894223342229,11.84538244700002
spatial_5fold,Random Forest,bands_only,18,3,23936,6064,0.8774736147757256,0.8762594243984966,11.67711826599998
spatial_5fold,Random Forest,bands_only,18,4,24112,5888,0.8722826086956522,0.8716318678844239,11.846470736000015
spatial_5fold,Random Forest,bands_only,18,5,23941,6059,0.8867799966991252,0.8844132546785193,11.919595848000029
spatial_5fold,HistGradientBoosting,bands_only,18,1,23880,6120,0.8872549019607843,0.889197213866854,1.3954477290000113
spatial_5fold,HistGradientBoosting,bands_only,18,2,24131,5869,0.8929971034247742,0.8907143585637207,1.2663457080000171
spatial_5fold,HistGradientBoosting,bands_only,18,3,23936,6064,0.8807717678100264,0.8799020903344035,1.2324741479999943
spatial_5fold,HistGradientBoosting,bands_only,18,4,24112,5888,0.8717730978260869,0.871066799396824,1.344538367000041
spatial_5fold,HistGradientBoosting,bands_only,18,5,23941,6059,0.8876052153820763,0.8854106583702606,1.502135628000019
spatial_5fold,Random Forest,bands_plus_indices,27,1,23880,6120,0.8861111111111111,0.8880427540380612,15.819739484000024
spatial_5fold,Random Forest,bands_plus_indices,27,2,24131,5869,0.8861816323053331,0.8839959124709511,16.065011211000012
spatial_5fold,Random Forest,bands_plus_indices,27,3,23936,6064,0.8774736147757256,0.8764093040967345,15.744308498999999
spatial_5fold,Random Forest,bands_plus_indices,27,4,24112,5888,0.8688858695652174,0.8683736215237378,15.847848004000014
spatial_5fold,Random Forest,bands_plus_indices,27,5,23941,6059,0.8839742531770919,0.8815746634738476,16.006806763999975
spatial_5fold,HistGradientBoosting,bands_plus_indices,27,1,23880,6120,0.8872549019607843,0.889126222814769,1.3873377890000143
spatial_5fold,HistGradientBoosting,bands_plus_indices,27,2,24131,5869,0.8957232918725507,0.8934708177514151,1.789660949999984
spatial_5fold,HistGradientBoosting,bands_plus_indices,27,3,23936,6064,0.8829155672823219,0.8820514238947714,1.428218763000018
spatial_5fold,HistGradientBoosting,bands_plus_indices,27,4,24112,5888,0.8731317934782609,0.8725912618243111,1.3612023179999824
spatial_5fold,HistGradientBoosting,bands_plus_indices,27,5,23941,6059,0.8866149529625351,0.8842850953035558,1.4490049110000314
