feature,mean_importance,sd_between_folds
summer_swir22,0.0822047969454035,0.010307178923127835
spring_swir16,0.07515233616033162,0.008451450070461613
autumn_swir16,0.05414583872425256,0.009900078111813874
spring_ndwi,0.04607614560447156,0.013186701643540882
autumn_ndvi,0.03412675903179009,0.01014670808388889
spring_swir22,0.029720863858079632,0.007334573262453256
autumn_swir22,0.0237857929528425,0.005667183973695724
summer_swir16,0.01943957852515447,0.0033232571353665158
spring_nir,0.014185593536372675,0.00488702628150684
spring_ndvi,0.01184305782391396,0.00597267505568558
autumn_ndwi,0.011696125592981398,0.009062809432954793
summer_nir,0.00840466937400582,0.004256856504231431
autumn_ndbi,0.006437449389539584,0.002420119446627045
spring_blue,0.005175560290911652,0.0013427362368610826
summer_ndwi,0.005098825308267258,0.0021629291698706306
autumn_green,0.005007984083526951,0.002661643430145399
summer_blue,0.00442474828016316,0.0019744952641199734
summer_ndvi,0.004013334345019465,0.0012302805105523854
autumn_nir,0.00382119751761868,0.0015560080846836932
autumn_blue,0.003582764175798103,0.0028143991776187756
summer_red,0.002865394766172119,0.001991582088348647
spring_red,0.00248949656584746,0.0016356270825608112
autumn_red,0.0021558916811023287,0.0010301645387425023
spring_ndbi,0.0018657861077026826,0.001178405451826727
summer_ndbi,0.0016247916200096192,0.0015478021785643697
summer_green,0.001127706311022797,0.002276529693066324
spring_green,0.0007824101510072901,0.0013682737498186984
